index,season,first_cycling_race_id,position,first_cycling_rider_id,gc_time,stage,gc_time_leader,bib_number,first_cycling_team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
126,2023,456,1,10962,NaN,GC,14:05:32,5 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
127,2023,456,2,165421,NaN,GC,+ 05,6 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
128,2023,456,3,33469,NaN,GC,+ 11,55 ,34154,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
129,2023,456,4,108085,NaN,GC,+ 20,41 ,34149,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
130,2023,456,5,60909,NaN,GC,+ 36,82 ,34338,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
131,2023,456,6,107446,NaN,GC,+ 36,21 ,None,New Zealand,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
132,2023,456,7,46141,NaN,GC,+ 42,105 ,34370,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
133,2023,456,8,104216,NaN,GC,+ 44,16 ,34148,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
134,2023,456,9,31440,NaN,GC,+ 44,54 ,34154,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
135,2023,456,10,111845,NaN,GC,+ 47,133 ,34153,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
136,2023,456,11,22529,NaN,GC,+ 49,61 ,33279,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
