season,team_id,team_name,uci_division
2023,33271,AC Bisontine,Men's Junior
2023,37074,AC Chatelleraudais,Men's Junior
2023,37639,AC Cherbourg Cotentin,Men's Junior
2023,38746,AC Erstein,Men's Junior
2023,37073,AC Jarnac Aigre Rouillac,Men's Junior
2023,37117,AC Lanester 56,Men's Junior
2023,36328,AC Lyon Vaise,Men's Junior
2023,37193,AC Pays de Baud,Men's Junior
2023,37721,AC Sparta Praha,Men's Junior
2023,37194,AC Sud 28,Men's Junior
2023,36282,AC Tingis C.Tanger,Men's Junior
2023,36370,Academie Constantine,Men's Junior
2023,36280,ACCF Oujda,Men's Junior
2023,37227,ACD Milharado - Sobralcar - Mafra,Men's Junior
2023,39239,ACDC Luso,Men's Junior
2023,36442,ACDC Trofa,Men's Junior
2023,38463,Acelvakond CT,Men's Junior
2023,37528,Acimadriz,Men's Junior
2023,40464,Acimat,Men's Junior
2023,38606,Acirivas,Men's Junior
2023,38739,Acivas,Men's Junior
2023,37770,Acrog - Tormans,Men's Junior
2023,38721,ACS Olimpic Zarnesti,Men's Junior
2023,38226,ACS Sport Competition,Men's Junior
2023,36376,ACSK,Men's Junior
2023,37154,ACT,Men's Junior
2023,39701,ACT,Men's Junior
2023,37660,ADC Rota BR010,Men's Junior
2023,36539,ADD Quiché-Copiner,Men's Junior
2023,37700,ADI C4-Velo Pro,Men's Junior
2023,39032,Aditur PTT,Men's Junior
2023,40246,Advanced Personnel,Men's Junior
2023,38691,Adygea Republic,Men's Junior
2023,36284,AEC Mohammedia,Men's Junior
2023,37114,AEK Tripolis,Men's Junior
2023,38941,Aerify,Men's Junior
2023,36979,Aero CT,Men's Junior
2023,37701,Aeronaval,Men's Junior
2023,35086,Aeroup,Men's Junior
2023,36576,Aevolo,Men's Junior
2023,35058,Ag.Nectar-Ampro,Men's Junior
2023,33139,AG2R Citroën U23 Team,Men's Junior
2023,36734,Agen Vélo Sport,Men's Junior
2023,36934,Agios Mnason,Men's Junior
2023,36450,Agones SFC,Men's Junior
2023,34677,Agromx Cultivando Campeones,Men's Junior
2023,40482,Agrup.5 de Diciembre,Men's Junior
2023,36089,Agua Quitral-BYB-BH,Men's Junior
2023,34794,Aguerobike,Men's Junior
2023,34642,AHC Racing,Men's Junior
2023,36787,Aichi University,Men's Junior
2023,39535,Air Relax Team,Men's Junior
2023,37793,Airrelax Team Brazil,Men's Junior
2023,34985,Airwerks Racing,Men's Junior
2023,39438,Aisan Supporters,Men's Junior
2023,36285,AJ Amer C,Men's Junior
2023,36662,AJ Derb el Fokara,Men's Junior
2023,36287,Aj Souk Sebt CT,Men's Junior
2023,37180,AJC Koudougou,Men's Junior
2023,36261,AJC Marrakech,Men's Junior
2023,37919,Aki Rising Bicycle Team,Men's Junior
2023,37975,Akilles Green Team,Men's Junior
2023,40305,Al Fateh SC,Men's Junior
2023,34981,Al Shafar Jumeirah,Men's Junior
2023,34982,Al Wathba Cycling Team,Men's Junior
2023,35054,Aladam,Men's Junior
2023,34852,Alas Rojas de Santa Lucia,Men's Junior
2023,39941,Albardon-San Juan,Men's Junior
2023,36439,Albi VS,Men's Junior
2023,35051,Alcaldia de Tuta,Men's Junior
2023,36926,ALDINA,Men's Junior
2023,39863,Aldo Opazo Competición,Men's Junior
2023,36625,Aldosa Jalapa,Men's Junior
2023,37160,Alfasun Cycling Team,Men's Junior
2023,36952,Alfatec-SH Percival,Men's Junior
2023,38086,Alg Fisio Tres Cantos,Men's Junior
2023,36095,All Cycling Team,Men's Junior
2023,34626,All Human-VeloRevolution,Men's Junior
2023,39059,All in Racing,Men's Junior
2023,37398,ALL RIGHT,Men's Junior
2023,39803,Allen Pro,Men's Junior
2023,37577,Almaraghi,Men's Junior
2023,36578,Alpine Carbon Racing,Men's Junior
2023,36212,Alto Velo,Men's Junior
2023,39367,Amager Cykle Ring,Men's Junior
2023,36368,Amel El Malah,Men's Junior
2023,34902,American Cycling,Men's Junior
2023,34901,Aminorip,Men's Junior
2023,36866,AMSC Univers Plus,Men's Junior
2023,36288,AN Sous Agadir,Men's Junior
2023,36839,Andalucia Kohlberg,Men's Junior
2023,34965,Andaman &amp; Nicobar,Men's Junior
2023,34964,Andhra Pradesh,Men's Junior
2023,38154,Angby C.C.,Men's Junior
2023,37984,Angers Métropole Cyclisme 49,Men's Junior
2023,39479,Anglirubike,Men's Junior
2023,36438,Angoulême VC,Men's Junior
2023,36069,Ankuva CT,Men's Junior
2023,36329,Annecy CC,Men's Junior
2023,37097,Antwerp Cycling Team Kontich,Men's Junior
2023,36090,AP C.C.Coltauco,Men's Junior
2023,38280,Apex,Men's Junior
2023,40322,Apex CT,Men's Junior
2023,36753,API-MetrowBodyby JR,Men's Junior
2023,38313,Apoel,Men's Junior
2023,39690,Apollo CC,Men's Junior
2023,36760,Aprocicli-Prefetura de Chapecó,Men's Junior
2023,36828,Apuana Team,Men's Junior
2023,37852,ARA Pro Racing Sunshine Coast,Men's Junior
2023,34808,Arabay Cycling Friendly,Men's Junior
2023,37934,ARAKAWA Pista stile,Men's Junior
2023,37142,Aran Cucine Vejus,Men's Junior
2023,34321,Aranako-Sima-Cepial,Men's Junior
2023,39331,Arancia Collina c.c.,Men's Junior
2023,36071,Arbo Headstart on Fahrrad,Men's Junior
2023,37230,ARBO Raiffeisen RC Feld am See,Men's Junior
2023,39687,Arcane CC,Men's Junior
2023,37426,Arctic Aircon RT,Men's Junior
2023,37720,ARCVTPN 972 du Marin,Men's Junior
2023,36919,Ardil Flowers,Men's Junior
2023,37567,Ards CC,Men's Junior
2023,38366,Arenas Tlaxcala,Men's Junior
2023,37063,Argenteuil Val de Seine 95,Men's Junior
2023,34688,Argycol,Men's Junior
2023,39966,Arias Team,Men's Junior
2023,39050,Arias-Gevisa,Men's Junior
2023,38591,ARK Jukastrengh-Sarajevo,Men's Junior
2023,38416,Armagh-Down CC,Men's Junior
