season,gender,race_id,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,race_tag
2023,Men,313,GP Marmo,Road,IT,1.2U,One Day,2023/05/14,2023/05/14,
2023,Men,19321,Tour of Bostonliq II,Road,UZ,1.2,One Day,2023/05/14,2023/05/14,
2023,Men,175,4 Jours de Dunkerque,Road,FR,2.Pro,Stage Race,2023/05/16,2023/05/21,
2023,Men,67,Flèche du Sud,Road,LU,2.2,Stage Race,2023/05/17,2023/05/21,
2023,Men,16532,Tour of Sakarya,Road,TR,2.2,Stage Race,2023/05/17,2023/05/20,
2023,Men,537,Circuit de Wallonie,Road,BE,1.1,One Day,2023/05/18,2023/05/18,
2023,Men,919,Joe Martin Stage Race,Road,US,2.2,Stage Race,2023/05/18,2023/05/21,
2023,Men,50,Veenendaal Classic,Road,NL,1.1,One Day,2023/05/20,2023/05/20,
2023,Men,16530,GP Gorenjska,Road,SI,1.2,One Day,2023/05/21,2023/05/21,
2023,Men,144,Rund um Köln,Road,DE,1.1,One Day,2023/05/21,2023/05/21,
2023,Men,341,Tour of Japan,Road,JP,2.1,Stage Race,2023/05/21,2023/05/28,
2023,Men,10204,Antwerp Port Epic,Road,BE,1.1,One Day,2023/05/21,2023/05/21,
2023,Men,7657,Tour of Albania,Road,AL,2.2,Stage Race,2023/05/22,2023/05/26,
2023,Men,315,Alpes Isère Tour,Road,FR,2.2,Stage Race,2023/05/24,2023/05/28,
2023,Men,10674,Orlen Nations Grand Prix,Road,PL,2.NC,Stage Race,2023/05/24,2023/05/28,
2023,Men,343,Boucles de la Mayenne,Road,FR,2.Pro,Stage Race,2023/05/25,2023/05/28,
2023,Men,7767,Tour de la Mirabelle,Road,FR,2.2,Stage Race,2023/05/25,2023/05/28,
2023,Men,20369,Grand Prix du Prince Héritier Moulay El Hassan,Road,MA,1.2,One Day,2023/05/26,2023/05/26,
2023,Men,250,Tour of Estonia,Road,EE,2.1,Stage Race,2023/05/26,2023/05/27,
2023,Men,4008,GP Beiras e Serra da Estrela,Road,PT,2.2,Stage Race,2023/05/26,2023/05/28,
2023,Men,71,Tour of Norway,Road,NO,2.Pro,Stage Race,2023/05/26,2023/05/29,
2023,Men,734,2 Giorni Marchigiana - GP Santa Rita,Road,IT,1.2,One Day,2023/05/27,2023/05/27,
2023,Men,20370,Grand Prix du Trône,Road,MA,1.2,One Day,2023/05/27,2023/05/27,
2023,Men,3838,Van Merksteijn Fences Classic,Road,BE,1.1,One Day,2023/05/27,2023/05/27,
2023,Men,20371,Grand Prix de la Famille Royale,Road,MA,1.2,One Day,2023/05/28,2023/05/28,
2023,Men,408,Trofeo Castelfidardo,Road,IT,1.2,One Day,2023/05/28,2023/05/28,
2023,Men,285,Paris-Troyes,Road,FR,1.2,One Day,2023/05/29,2023/05/29,
2023,Men,437,Ronde van Limburg,Road,BE,1.1,One Day,2023/05/29,2023/05/29,
2023,Men,13188,Mercan Tour Classic Alpes-Maritimes,Road,FR,1.1,One Day,2023/05/30,2023/05/30,
2023,Men,552,Oberösterreich Rundfahrt,Road,AT,2.2,Stage Race,2023/06/01,2023/06/04,
2023,Men,386,Tour of Malopolska,Road,PL,2.2,Stage Race,2023/06/01,2023/06/04,
2023,Men,345,Ronde de l'Oise,Road,FR,2.2,Stage Race,2023/06/01,2023/06/04,
2023,Men,149,Giro dell'Appennino,Road,IT,1.1,One Day,2023/06/02,2023/06/02,
2023,Men,546,Trofeo Alcide Degasperi,Road,IT,1.2,One Day,2023/06/02,2023/06/02,
2023,Men,349,Heistse Pijl,Road,BE,1.1,One Day,2023/06/03,2023/06/03,
2023,Men,473,Tour du Cameroun,Road,CM,2.2,Stage Race,2023/06/03,2023/06/11,
2023,Men,502,Tour de Kumano,Road,JP,2.2,Stage Race,2023/06/03,2023/06/04,
2023,Men,550,Coppa della Pace,Road,IT,1.2U,One Day,2023/06/04,2023/06/04,
2023,Men,351,Memorial van Coningsloo,Road,BE,1.2,One Day,2023/06/04,2023/06/04,
2023,Men,64,Brussels Classic,Road,BE,1.Pro,One Day,2023/06/04,2023/06/04,
2023,Men,15,Critérium du Dauphiné,Road,FR,2.UWT,Stage Race,2023/06/04,2023/06/11,
2023,Men,5228,Tour de Maurice,Road,MU,2.2,Stage Race,2023/06/06,2023/06/09,
2023,Men,18950,Aziz Shusha,Road,AZ,2.2,Stage Race,2023/06/07,2023/06/11,
2023,Men,213,ZLM Tour,Road,NL,2.Pro,Stage Race,2023/06/07,2023/06/11,
2023,Men,14005,Course de la Paix,Road,CZ,2.NC,Stage Race,2023/06/08,2023/06/11,
2023,Men,364,Asia ITT-U23,Road,,CCUT,One Day,2023/06/09,2023/06/09,
